edu
7
7
2
6
2
2
4
7
8
7
7
2
3
7
6
3
6
6
2
7
7
7
7
6
7
7
8
7
7
5
7
6
7
6
6
2
7
7
6
6
2
2
2
2
2
1
6
9
3
6
7
2
6
6
2
6
6
3
1
9
6
9
1
6
6
6
1
5
7
6
6
6
6
6
8
5
1
6
4
7
6
2
6
2
6
6
8
2
7
2
7
5
6
3
2
6
6
7
7
6
7
7
3
1
7
7
6
6
1
7
6
6
6
5
7
3
6
8
6
5
8
2
7
3
6
7
7
1
1
7
5
6
7
2
5
7
7
5
2
6
1
6
7
6
8
7
7
6
6
6
8
7
6
8
7
7
10
7
7
6
7
7
6
7
6
7
6
6
6
6
6
7
7
7
7
8
7
2
6
7
2
6
7
7
6
7
10
8
6
7
10
6
6
7
6
1
8
10
3
8
8
10
7
10
7
6
6
7
6
6
7
10
10
6
6
6
7
6
8
8
1
8
8
6
10
1
10
8
6
2
4
7
10
8
6
8
6
7
7
10
7
3
8
7
1
7
7
6
7
2
7
6
10
6
6
8
8
3
2
6
7
8
2
2
10
7
6
7
6
8
6
10
7
2
8
8
3
7
10
10
8
7
7
2
6
5
3
1
1
8
10
1
8
8
1
8
10
8
8
1
3
8
3
2
10
8
7
10
8
2
7
2
6
7
7
6
7
7
1
5
6
8
6
7
6
6
7
7
6
7
7
7
7
10
7
2
10
7
6
7
7
7
6
7
7
7
6
2
2
7
7
2

6
10
6
7
1
10

6

10
1
1
6

1
3
6
8

7
2
8
6
3
8
2
3
8

10

1
7
10
1
6
10
7
10
8
6
6
8
6
7

6
8
7
10

7
8
6
7
7
1
1
2
2
2
2
2
1
2
2
2
6
10
7
8
10
6
10
10
7
6
8


7
7
6

10
10
3
