angry,bored,disgust,happy,neutral,other,sad,scared,surprise,worried
,,,,,uncertain,,,,
,,,,,uncertain,,,,
,,,,,uncertain,,,,
,,,,,uncomfortable,,,,
,,,,,ungrateful,,,,
,,,,,untidy,,,,
,,,,,unwell,,,,
,,,,,up,,,,
,,,,,up,,,,
,,,,,uptight,,,,
,,,,,vacant ,,,,
,,,,,victorious,,,,
,,,,,waiting,,,,
,,,,,weary,,,,
,,,,,worthless,,,,
,,,,,wound,,,,
,,,,,clue,,,,
,,,,,no,,,,
,,,,,quite,,,,
,,,,,walking,,,,
,,,,,excited,,,,
,,,,,exctement,,,,
,,,,,excite,,,,
,,,,,exciting,,,,
,,,,,thoughtful,,,,
,,,,,intriguer,,,,
,,,,,pensive,,,,
,,,,,interested,,,,
,,,,,interest,,,,
,,,,,impressed,,,,
,,,,,x,,,,
,,,,,concentrating,,,,
,,,,,engaged,,,,
,,,,,calm,,,,
,,,,,powerful,,,,
,,,,,minus999,,,,
,,,,,insecure,,,,
,,,,,insure,,,,
,,,,,dislike,,,,
,,,,,playful,,,,
,,,,,ill,,,,
,,,,,groos,,,,
,,,,,rude,,,,
,,,,,tired,,,,
,,,,,tried,,,,
,,,,,tiered,,,,
,,,,,shattered,,,,
,,,,,tyre,,,,
,,,,,tier,,,,
,,,,,exhausted,,,,
,,,,,drained,,,,
,,,,,constipated,,,,
,,,,,me,,,,
,,,,,anchors,,,,
,,,,,wondering,,,,
,,,,,undecided,,,,
,,,,,disbelieving,,,,
,,,,,mug,,,,
,,,,,unused,,,,
,,,,,funny,,,,
,,,,,contemption,,,,
,,,,,ressistant,,,,
,,,,,lifted,,,,
,,,,,dumb,,,,
,,,,,thought,,,,
,,,,,mindful,,,,
,,,,,sceptic,,,,
,,,,,whatever,,,,
,,,,,thoughtfulness,,,,
,,,,,thoughtlessness,,,,
,,,,,listening,,,,
,,,,,thoughtfully,,,,
,,,,,engrossed,,,,
,,,,,mmm,,,,
,,,,,yuk,,,,
,,,,,don't know,,,,
,,,,,disputed,,,,
,,,,,horrible,,,,
,,,,,cringe,,,,
,,,,,doesn't like,,,,
,,,,,ugh,,,,
,,,,,unimpressed,,,,
,,,,,disillusion,,,,
,,,,,grumpy,,,,
,,,,,fun,,,,
,,,,,rowdy,,,,
,,,,,sarcasm,,,,
,,,,,sarcastic,,,,
,,,,,alone,,,,
,,,,,lovely,,,,
,,,,,loneliness,,,,
,,,,,passion,,,,
,,,,,made,,,,
,,,,,excited,,,,
,,,,,excitedly,,,,
,,,,,excitement,,,,
,,,,,humour,,,,
,,,,,respective,,,,
,,,,,respect,,,,
,,,,,respectful,,,,
,,,,,peaceful,,,,
,,,,,contemplative,,,,
,,,,,defective,,,,
,,,,,hopeful,,,,
,,,,,pray,,,,
,,,,,praying,,,,
,,,,,prayer,,,,
,,,,,serenity,,,,
,,,,,prayered,,,,
,,,,,peaceful,,,,
,,,,,quiet,,,,
,,,,,mourning,,,,
,,,,,contemplating,,,,
,,,,,attentive,,,,
,,,,,focused,,,,
,,,,,loved,,,,
